CowTimeLoc,Sequencing.File.Name,Cow,GWAS_Timepoint,Location,Sample.Type,PARITY,DIM,parity.group,SampleType_Parity,Darkness,Milk7d_T1,Milk_Tier,STAGE,PARITY.GROUP,Parity.Stage,Sequence Counts,dateTrial_recent,milkE_1,DMI_recent,rfi_recent,GFE
8428_1_ARS,Swab2-54,8428,1,ARS,Swab,2,196,Second,Swab_Second,0.4514075,125,High,Middle,Second,Second.Middle,18415,8/26/2019,36.7,32.2,1.3,1.125
7954_1_ARS,Swab2-55,7954,1,ARS,Swab,3,353,Multi,Swab_Multi,0.4582086,73.7,Mid,Late,Third,Third.Late,16119,,,,,
7961_1_ARS,Swab2-56,7961,1,ARS,Swab,3,301,Multi,Swab_Multi,0.4272749,58.2,Low,Late,Third,Third.Late,17452,,,,,
8146_1_ARS,Swab2-57,8146,1,ARS,Swab,3,217,Multi,Swab_Multi,0.4508263,83.4,Mid,Late,Third,Third.Late,21884,,,,,
8467_1_ARS,Swab2-59,8467,1,ARS,Swab,2,248,Second,Swab_Second,0.5423459,64.2,Low,Late,Second,Second.Late,24010,,,,,
7935_1_ARS,Swab2-60,7935,1,ARS,Swab,3,343,Multi,Swab_Multi,0.5948761,63.6,Low,Late,Third,Third.Late,19280,,,,,
8500_1_ARS,Swab2-61,8500,1,ARS,Swab,3,171,Multi,Swab_Multi,0.4118612,92.8,Mid,Middle,Third,Third.Middle,16078,,,,,
8440_1_ARS,Swab2-62,8440,1,ARS,Swab,3,160,Multi,Swab_Multi,0.4055078,118,High,Middle,Third,Third.Middle,7588,,,,,
8481_1_ARS,Swab2-63,8481,1,ARS,Swab,2,259,Second,Swab_Second,0.3979608,48.9,Low,Late,Second,Second.Late,24450,,,,,
7939_1_ARS,Swab2-64,7939,1,ARS,Swab,3,284,Multi,Swab_Multi,0.4091741,54.2,Low,Late,Third,Third.Late,19185,,,,,
8511_1_ARS,Swab2-65,8511,1,ARS,Swab,3,229,Multi,Swab_Multi,0.3970749,76.4,Mid,Late,Third,Third.Late,29066,,,,,
8545_1_ARS,Swab2-70,8545,1,ARS,Swab,3,132,Multi,Swab_Multi,0.7256443,107,Mid,Middle,Third,Third.Middle,34325,,,,,
8209_1_ARS,Swab2-71,8209,1,ARS,Swab,3,88,Multi,Swab_Multi,0.4286859,100,Mid,Early,Third,Third.Early,9086,,,,,
8541_1_ARS,Swab2-75,8541,1,ARS,Swab,2,218,Second,Swab_Second,0.6337663,99.3,Mid,Late,Second,Second.Late,29220,,,,,
8100_1_ARS,Swab2-79,8100,1,ARS,Swab,3,203,Multi,Swab_Multi,0.4220075,95,Mid,Late,Third,Third.Late,238035,,,,,
8355_1_ARS,Swab2-80,8355,1,ARS,Swab,3,47,Multi,Swab_Multi,0.5005549,105,Mid,Early,Third,Third.Early,181849,,,,,
8652_1_ARS,Swab2-82,8652,1,ARS,Swab,2,5,Second,Swab_Second,0.3803506,59.6,Low,Early,Second,Second.Early,40669,1/13/2020,33.1,29.8,-0.6,1.137931
8325_1_ARS,Swab2-83,8325,1,ARS,Swab,3,41,Multi,Swab_Multi,0.6558839,137,High,Early,Third,Third.Early,262456,1/13/2020,24.1,31.2,0.8,0.7419355
8485_1_ARS,Swab2-84,8485,1,ARS,Swab,3,185,Multi,Swab_Multi,0.6698627,97.2,Mid,Middle,Third,Third.Middle,68222,,,,,
8418_1_ARS,Swab2-9,8418,1,ARS,Swab,2,209,Second,Swab_Second,NA,105,Mid,Late,Second,Second.Late,14609,,,,,
8457_1_ARS,Swab3-1,8457,1,ARS,Swab,2,139,Second,Swab_Second,0.4184502,110,High,Middle,Second,Second.Middle,86496,8/26/2019,36.7,28.2,-2.2,1.2857143
8119_1_ARS,Swab3-138,8119,1,ARS,Swab,3,251,Multi,Swab_Multi,0.39022,89.1,Mid,Late,Third,Third.Late,28940,,,,,
8909_1_ARS,Swab3-2,8909,1,ARS,Swab,2,159,Second,Swab_Second,0.3792863,70.6,Mid,Middle,Second,Second.Middle,44636,,,,,
8881_1_ARS,Swab3-3,8881,1,ARS,Swab,1,222,First,Swab_First,0.3774737,87.2,Mid,Late,First,First.Late,54099,,,,,
8872_1_ARS,Swab5-196,8872,1,ARS,Swab,1,185,First,Swab_First,0.3923463,110,High,Middle,First,First.Middle,49317,,,,,
