"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Comp","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV243",33.3205830898273,6.34872198799576,2.39577440081976,2.64996653517269,0.00804997440322011,0.0366119028146453,"GFE","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus","flavefaciens"
"ASV16",64.7178193389649,4.5819766729163,1.73414449583832,2.64221158266358,0.00823665833535895,0.0371041846916646,"GFE","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Unclassified"
"ASV203",57.4326494076201,6.17641105852589,2.35050806905436,2.62769191896913,0.00859663334537629,0.0383604487958772,"GFE","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Butyrivibrio","Unclassified"
"ASV2015",38.743680214962,-9.87466978456116,3.76331285370095,-2.62393007662122,0.008692162790674,0.0384242336447552,"GFE","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Levilactobacillus","Unclassified"
"ASV411",31.2547471225816,5.84450063045827,2.23375385407225,2.6164479223185,0.00888499167199864,0.0389129727856978,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
"ASV272",44.4574533558856,5.17510964636192,1.9924807651232,2.59731975181298,0.00939544170607957,0.0407710452016113,"GFE","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Facklamia","tabacinasalis"
"ASV24",498.903147028727,5.03817026745566,1.95960254276714,2.57101639618272,0.0101400526067379,0.0414748302728536,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-001","Unclassified"
"ASV92",82.1473301016401,-6.56184895247637,2.55294937337438,-2.57030124487083,0.0101610114260307,0.0414748302728536,"GFE","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","Unclassified"
"ASV126",295.553749350755,5.1159236873414,1.99214006863624,2.56805420857963,0.0102271161461386,0.0414748302728536,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group","Unclassified"
"ASV156",170.055696422805,5.79412276543066,2.25868671927212,2.56526180279568,0.0103097982016144,0.0414748302728536,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
